Start Time (UTCG),Stop Time (UTCG),Duration (sec),start_timestamp,end_timestamp,duration_timestamp
9 Nov 2023 20:32:53.095,9 Nov 2023 21:29:20.847,3387.752,1699533173,1699536560,3387
9 Nov 2023 22:05:05.516,9 Nov 2023 23:01:33.765,3388.249,1699538705,1699542093,3388
9 Nov 2023 23:37:17.937,10 Nov 2023 00:33:46.681,3388.744,1699544237,1699547626,3389
10 Nov 2023 01:09:30.356,10 Nov 2023 02:05:59.595,3389.238,1699549770,1699553159,3389
10 Nov 2023 02:41:42.775,10 Nov 2023 03:38:12.506,3389.731,1699555302,1699558692,3390
10 Nov 2023 04:13:55.295,10 Nov 2023 05:10:25.515,3390.22,1699560835,1699564225,3390
10 Nov 2023 05:46:07.719,10 Nov 2023 06:42:38.426,3390.708,1699566367,1699569758,3391
10 Nov 2023 07:18:20.142,10 Nov 2023 08:14:51.335,3391.193,1699571900,1699575291,3391
10 Nov 2023 08:50:32.564,10 Nov 2023 09:47:04.240,3391.676,1699577432,1699580824,3392
10 Nov 2023 10:22:44.986,10 Nov 2023 11:19:17.142,3392.156,1699582964,1699586357,3393
10 Nov 2023 11:54:57.415,10 Nov 2023 12:51:30.045,3392.629,1699588497,1699591890,3393
10 Nov 2023 13:27:09.827,10 Nov 2023 14:23:42.928,3393.101,1699594029,1699597422,3393
10 Nov 2023 14:59:22.248,10 Nov 2023 15:55:55.819,3393.571,1699599562,1699602955,3393
10 Nov 2023 16:31:34.669,10 Nov 2023 17:28:08.706,3394.037,1699605094,1699608488,3394
10 Nov 2023 18:03:47.088,10 Nov 2023 19:00:21.588,3394.499,1699610627,1699614021,3394
10 Nov 2023 19:35:59.538,10 Nov 2023 20:32:34.497,3394.958,1699616159,1699619554,3395
10 Nov 2023 21:08:11.960,10 Nov 2023 22:04:47.376,3395.416,1699621691,1699625087,3396
10 Nov 2023 22:40:24.385,10 Nov 2023 23:37:00.250,3395.866,1699627224,1699630620,3396
11 Nov 2023 00:12:36.812,11 Nov 2023 01:09:13.120,3396.308,1699632756,1699636153,3397
11 Nov 2023 01:44:49.234,11 Nov 2023 02:41:25.986,3396.752,1699638289,1699641685,3396
11 Nov 2023 03:17:01.718,11 Nov 2023 04:13:38.907,3397.19,1699643821,1699647218,3397
11 Nov 2023 04:49:14.148,11 Nov 2023 05:45:51.772,3397.625,1699649354,1699652751,3397
11 Nov 2023 06:21:26.584,11 Nov 2023 07:18:04.628,3398.044,1699654886,1699658284,3398
11 Nov 2023 07:53:39.018,11 Nov 2023 08:50:17.480,3398.463,1699660419,1699663817,3398
11 Nov 2023 09:25:51.450,11 Nov 2023 10:22:30.327,3398.877,1699665951,1699669350,3399
11 Nov 2023 10:58:03.855,11 Nov 2023 11:54:43.132,3399.277,1699671483,1699674883,3400
11 Nov 2023 12:30:16.290,11 Nov 2023 13:26:55.964,3399.673,1699677016,1699680415,3399
11 Nov 2023 14:02:28.720,11 Nov 2023 14:59:08.786,3400.066,1699682548,1699685948,3400
11 Nov 2023 15:34:41.149,11 Nov 2023 16:31:21.601,3400.452,1699688081,1699691481,3400
11 Nov 2023 17:06:53.580,11 Nov 2023 18:03:34.409,3400.829,1699693613,1699697014,3401
11 Nov 2023 18:39:06.007,11 Nov 2023 19:35:47.209,3401.203,1699699146,1699702547,3401
11 Nov 2023 20:11:18.469,11 Nov 2023 21:08:00.032,3401.563,1699704678,1699708080,3402
11 Nov 2023 21:43:30.899,11 Nov 2023 22:40:12.818,3401.919,1699710210,1699713612,3402
11 Nov 2023 23:15:43.326,12 Nov 2023 00:12:25.595,3402.269,1699715743,1699719145,3402
12 Nov 2023 00:47:55.756,12 Nov 2023 01:44:38.363,3402.607,1699721275,1699724678,3403
12 Nov 2023 02:20:08.183,12 Nov 2023 03:16:51.190,3403.007,1699726808,1699730211,3403
12 Nov 2023 03:52:20.679,12 Nov 2023 04:49:03.950,3403.271,1699732340,1699735743,3403
12 Nov 2023 05:24:33.114,12 Nov 2023 06:21:16.702,3403.588,1699737873,1699741276,3403
12 Nov 2023 06:56:45.550,12 Nov 2023 07:53:29.442,3403.892,1699743405,1699746809,3404
12 Nov 2023 08:28:57.981,12 Nov 2023 09:25:42.172,3404.191,1699748937,1699752342,3405
12 Nov 2023 10:01:10.414,12 Nov 2023 10:57:54.892,3404.479,1699754470,1699757874,3404
12 Nov 2023 11:33:22.845,12 Nov 2023 12:30:07.602,3404.758,1699760002,1699763407,3405
12 Nov 2023 13:05:35.275,12 Nov 2023 14:02:20.301,3405.027,1699765535,1699768940,3405
12 Nov 2023 14:37:47.703,12 Nov 2023 15:34:32.989,3405.286,1699771067,1699774472,3405
12 Nov 2023 16:10:00.130,12 Nov 2023 17:06:45.665,3405.536,1699776600,1699780005,3405
12 Nov 2023 17:42:12.554,12 Nov 2023 18:38:58.302,3405.748,1699782132,1699785538,3406
12 Nov 2023 19:14:24.954,12 Nov 2023 20:11:10.935,3405.981,1699787664,1699791070,3406
12 Nov 2023 20:46:37.355,12 Nov 2023 21:43:23.552,3406.197,1699793197,1699796603,3406
12 Nov 2023 22:18:49.751,12 Nov 2023 23:15:36.154,3406.403,1699798729,1699802136,3407
12 Nov 2023 23:51:02.142,13 Nov 2023 00:00:00.000,537.858,1699804262,1699804800,538
