Start Time (UTCG),Stop Time (UTCG),Duration (sec),start_timestamp,end_timestamp,duration_timestamp
9 Nov 2023 19:57:16.609,9 Nov 2023 20:32:44.352,2127.743,1699531036,1699533164,2128
9 Nov 2023 21:29:29.538,9 Nov 2023 22:04:56.765,2127.227,1699536569,1699538696,2127
9 Nov 2023 23:01:42.465,9 Nov 2023 23:37:09.177,2126.712,1699542102,1699544229,2127
10 Nov 2023 00:33:55.389,10 Nov 2023 01:09:21.588,2126.199,1699547635,1699549761,2126
10 Nov 2023 02:06:08.311,10 Nov 2023 02:41:33.998,2125.687,1699553168,1699555293,2125
10 Nov 2023 03:38:21.231,10 Nov 2023 04:13:46.510,2125.279,1699558701,1699560826,2125
10 Nov 2023 05:10:34.249,10 Nov 2023 05:45:58.925,2124.676,1699564234,1699566358,2124
10 Nov 2023 06:42:47.169,10 Nov 2023 07:18:11.340,2124.171,1699569767,1699571891,2124
10 Nov 2023 08:15:00.086,10 Nov 2023 08:50:23.754,2123.668,1699575300,1699577423,2123
10 Nov 2023 09:47:13.000,10 Nov 2023 10:22:36.168,2123.167,1699580833,1699582956,2123
10 Nov 2023 11:19:25.910,10 Nov 2023 11:54:48.589,2122.678,1699586365,1699588488,2123
10 Nov 2023 12:51:38.822,10 Nov 2023 13:27:00.993,2122.171,1699591898,1699594020,2122
10 Nov 2023 14:23:51.714,10 Nov 2023 14:59:13.405,2121.691,1699597431,1699599553,2122
10 Nov 2023 15:56:04.613,10 Nov 2023 16:31:25.818,2121.205,1699602964,1699605085,2121
10 Nov 2023 17:28:17.508,10 Nov 2023 18:03:38.230,2120.722,1699608497,1699610618,2121
10 Nov 2023 19:00:30.399,10 Nov 2023 19:35:50.672,2120.273,1699614030,1699616150,2120
10 Nov 2023 20:32:43.316,10 Nov 2023 21:08:03.089,2119.773,1699619563,1699621683,2120
10 Nov 2023 22:04:56.203,10 Nov 2023 22:40:15.506,2119.302,1699625096,1699627215,2119
10 Nov 2023 23:37:09.086,11 Nov 2023 00:12:27.920,2118.834,1699630629,1699632747,2118
11 Nov 2023 01:09:21.965,11 Nov 2023 01:44:40.340,2118.375,1699636161,1699638280,2119
11 Nov 2023 02:41:34.838,11 Nov 2023 03:16:52.813,2117.976,1699641694,1699643812,2118
11 Nov 2023 04:13:47.769,11 Nov 2023 04:49:05.239,2117.47,1699647227,1699649345,2118
11 Nov 2023 05:46:00.639,11 Nov 2023 06:21:17.665,2117.026,1699652760,1699654877,2117
11 Nov 2023 07:18:13.503,11 Nov 2023 07:53:30.092,2116.589,1699658293,1699660410,2117
11 Nov 2023 08:50:26.363,11 Nov 2023 09:25:42.517,2116.154,1699663826,1699665942,2116
11 Nov 2023 10:22:39.217,11 Nov 2023 10:57:54.918,2115.7,1699669359,1699671474,2115
11 Nov 2023 11:54:52.030,11 Nov 2023 12:30:07.342,2115.311,1699674892,1699677007,2115
11 Nov 2023 13:27:04.869,11 Nov 2023 14:02:19.765,2114.896,1699680424,1699682539,2115
11 Nov 2023 14:59:17.698,11 Nov 2023 15:34:32.188,2114.49,1699685957,1699688072,2115
11 Nov 2023 16:31:30.521,11 Nov 2023 17:06:44.613,2114.092,1699691490,1699693604,2114
11 Nov 2023 18:03:43.336,11 Nov 2023 18:38:57.035,2113.699,1699697023,1699699137,2114
11 Nov 2023 19:35:56.172,11 Nov 2023 20:11:09.488,2113.316,1699702556,1699704669,2113
11 Nov 2023 21:08:08.973,11 Nov 2023 21:43:21.912,2112.939,1699708088,1699710201,2113
11 Nov 2023 22:40:21.765,11 Nov 2023 23:15:34.336,2112.571,1699713621,1699715734,2113
12 Nov 2023 00:12:34.549,12 Nov 2023 00:47:46.759,2112.21,1699719154,1699721266,2112
12 Nov 2023 01:44:47.323,12 Nov 2023 02:19:59.183,2111.86,1699724687,1699726799,2112
12 Nov 2023 03:17:00.157,12 Nov 2023 03:52:11.672,2111.515,1699730220,1699732331,2111
12 Nov 2023 04:49:12.924,12 Nov 2023 05:24:24.103,2111.179,1699735752,1699737864,2112
12 Nov 2023 06:21:25.681,12 Nov 2023 06:56:36.534,2110.853,1699741285,1699743396,2111
12 Nov 2023 07:53:38.427,12 Nov 2023 08:28:48.959,2110.532,1699746818,1699748928,2110
12 Nov 2023 09:25:51.163,12 Nov 2023 10:01:01.386,2110.223,1699752351,1699754461,2110
12 Nov 2023 10:58:03.889,12 Nov 2023 11:33:13.813,2109.923,1699757883,1699759993,2110
12 Nov 2023 12:30:16.605,12 Nov 2023 13:05:26.238,2109.633,1699763416,1699765526,2110
12 Nov 2023 14:02:29.309,12 Nov 2023 14:37:38.662,2109.353,1699768949,1699771058,2109
12 Nov 2023 15:34:42.002,12 Nov 2023 16:09:51.084,2109.082,1699774482,1699776591,2109
12 Nov 2023 17:06:54.683,12 Nov 2023 17:42:03.505,2108.822,1699780014,1699782123,2109
12 Nov 2023 18:39:07.325,12 Nov 2023 19:14:15.901,2108.576,1699785547,1699787655,2108
12 Nov 2023 20:11:19.963,12 Nov 2023 20:46:28.299,2108.336,1699791079,1699793188,2109
12 Nov 2023 21:43:32.585,12 Nov 2023 22:18:40.691,2108.106,1699796612,1699798720,2108
12 Nov 2023 23:15:45.191,12 Nov 2023 23:50:53.078,2107.887,1699802145,1699804253,2108
